benchmark,run,result
max-subarray,roundtrip,0
mat-mul,baseline,4
mat-mul,ssa,4
mat-mul,roundtrip,3
fib,baseline,3
fib,ssa,9
fib,roundtrip,9
vsmul,baseline,2
vsmul,ssa,9
vsmul,roundtrip,4
quicksort-hoare,baseline,1
quicksort-hoare,ssa,5
quicksort-hoare,roundtrip,7
quicksort,baseline,5
quicksort,ssa,3
quicksort,roundtrip,0
two-sum,baseline,6
two-sum,ssa,0
two-sum,roundtrip,9
eight-queens,baseline,7
eight-queens,ssa,4
eight-queens,roundtrip,8
connected-components,baseline,0
connected-components,ssa,3
connected-components,roundtrip,3
binary-search,baseline,2
binary-search,ssa,7
binary-search,roundtrip,4
